dataset_name,model_name,present-f1@3,absent-recall@3,present-f1@5,absent-recall@5,present-f1@10,absent-recall@10
inspec,phrase_splade_33,0.21752672306902185,0.011886304909560722,0.2919682069882387,0.015058857306919322,0.3555951811130253,0.02440424921045076
krapivin,phrase_splade_33,0.2074868164612468,0.015968992248062017,0.20841782732721992,0.01914728682170543,0.19099042442753794,0.034737910668143225
nus,phrase_splade_33,0.22726537132562957,0.017495400432900432,0.2640778010531843,0.022185876623376625,0.25477114730336076,0.034707396769896766
semeval,phrase_splade_33,0.18454802234941087,0.009086900753567419,0.22300184865153436,0.012423841590508258,0.2579833757943303,0.015333277833277833
